Type,Text,Points,Options,CorrectIndex,Languages,StarterCode,ExpectedOutput
MCQ,What is the difference between an abstract class and an interface in Java?,3,Abstract classes support multiple inheritance while interfaces do not;Abstract classes can have state and implemented methods while interfaces define a pure contract (Java 8+ allows default methods);Interfaces cannot be extended;Abstract classes cannot have constructors,1,,,
MCQ,What does the 'final' keyword mean when applied to a class in Java?,2,The class must implement an interface;The class cannot be subclassed;The class cannot have any methods;The class runs faster,1,,,
MCQ,What is method overloading?,2,Redefining a method in a subclass;Defining multiple methods with the same name but different parameter signatures in the same class;Calling a method recursively;Overriding a final method,1,,,
MCQ,What is the Java memory model concept of the heap vs the stack?,3,Heap is faster than stack;Stack stores local variables and call frames while the heap stores objects allocated with new and is managed by the garbage collector,1,,,
MCQ,What is the Singleton design pattern?,3,A pattern to create multiple instances;A creational pattern that restricts a class to a single instance and provides a global access point,1,,,
MCQ,What does 'polymorphism' mean in OOP?,3,An object can only belong to one type;A single interface or method can represent different underlying forms allowing objects to be treated as instances of their parent type,1,,,
MCQ,What is the difference between '==' and '.equals()' in Java?,3,They are identical for all types;'==' compares object references while '.equals()' compares the logical equality of object content,1,,,
MCQ,What does the Java keyword 'volatile' do?,3,Makes a variable constant;Ensures that reads and writes to a variable are visible to all threads by reading and writing directly to main memory,1,,,
MCQ,What is the purpose of the Java 'try-with-resources' statement?,3,To retry a failed block;To automatically close resources that implement AutoCloseable when the try block exits,1,,,
MCQ,What is the difference between ArrayList and LinkedList in Java?,3,They are internally identical;ArrayList uses a dynamic array (fast random access) while LinkedList uses a doubly-linked list (fast insert/delete at ends),1,,,
MCQ,What is the Builder design pattern used for?,3,Building network connections;Constructing complex objects step-by-step separating construction logic from the final object,1,,,
MCQ,What does the @Override annotation do in Java?,2,Forces method overloading;Indicates that the method overrides a superclass method and triggers a compile-time error if it does not,1,,,
CODING,Write a Java class called 'Stack<T>' that implements a generic stack using an ArrayList with push(T item) pop() peek() and isEmpty() methods.,8,,,java,"import java.util.ArrayList;

public class Stack<T> {
    // write your solution here
}","Stack is working"
CODING,Write a Java implementation of the Observer design pattern with a Subject class that maintains a list of Observer interfaces and notifies them on update. Include a ConcreteObserver that prints the update.,10,,,java,"import java.util.ArrayList;
import java.util.List;

interface Observer {
    // write your solution here
}

class Subject {
    // write your solution here
}

class ConcreteObserver implements Observer {
    // write your solution here
}","Observer received: hello"
CODING,Write a Java function called 'mergeIntervals' that takes a List of int[] intervals where each interval is [start end] and returns a merged list with overlapping intervals combined. Sort by start time first.,8,,,java,"import java.util.*;

public List<int[]> mergeIntervals(List<int[]> intervals) {
    // write your solution here
}","[[1,6],[8,10],[15,18]]"
