Type,Text,Points,Options,CorrectIndex,Languages,StarterCode,ExpectedOutput
MCQ,What does the Express middleware function next() do?,2,Terminates the request;Passes control to the next matching route or middleware;Sends a response;Logs the request,1,,,
MCQ,Which HTTP method is used to update a resource partially?,2,PUT;POST;PATCH;DELETE,2,,,
MCQ,What does the status code 401 mean?,2,Not Found;Forbidden;Unauthorized;Bad Request,2,,,
MCQ,In MongoDB what operator is used to match documents where a field value is in a given array?,2,$in;$contains;$match;$any,0,,,
MCQ,What is the purpose of the cors npm package in Express?,3,Rate limit requests;Enable Cross-Origin Resource Sharing headers;Compress responses;Validate request bodies,1,,,
MCQ,What does async/await do in Node.js?,2,Adds multithreading;Provides syntactic sugar for working with Promises;Replaces callbacks with events;Runs code in a worker thread,1,,,
MCQ,Which Mongoose method finds a document by its _id and updates it returning the updated document?,3,findOne();findByIdAndUpdate();updateOne();findOneAndUpdate(),1,,,
MCQ,What is JWT used for in REST APIs?,3,Encrypting database fields;Stateless authentication by encoding user claims in a signed token;Caching API responses;Managing CORS policies,1,,,
MCQ,Which Node.js module is used to read environment variables?,2,process.config;process.env;os.env;env.config,1,,,
MCQ,What does the 429 HTTP status code mean?,2,Server Error;Not Found;Too Many Requests;Gateway Timeout,2,,,
MCQ,In Express what does the body-parser middleware do?,2,Parses URL query strings;Parses request body and makes it available on req.body;Validates request headers;Handles file uploads,1,,,
MCQ,What is the purpose of database indexing?,3,Increases storage;Speeds up read queries by creating data structures for fast lookups;Encrypts stored data;Prevents duplicate inserts,1,,,
CODING,Write an Express route handler for GET /users/:id that returns a JSON object with the id param. Use req.params.id.,5,,,javascript,"app.get('/users/:id', (req, res) => {
  // write your solution here
});","{""id"":""123""}"
CODING,Write a function called hashPassword that uses the crypto module to return a SHA-256 hex hash of a given string password.,8,,,javascript,"const crypto = require('crypto');

function hashPassword(password) {
  // write your solution here
}",5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8
CODING,Write a function called paginate that takes an array items a page number and pageSize and returns the correct slice of items for that page. Page starts at 1.,5,,,javascript,"function paginate(items, page, pageSize) {
  // write your solution here
}","[3,4]"
