Type,Text,Points,Options,CorrectIndex,Languages,StarterCode,ExpectedOutput
MCQ,What does CAP theorem state?,3,A distributed system can be Consistent Available and Partition-tolerant simultaneously;A distributed system can guarantee at most two of Consistency Available and Partition tolerance at the same time;CAP refers to CPU Allocation Policy in distributed systems;A system must choose between Caching Availability and Performance,1,,,
MCQ,What is horizontal scaling?,2,Adding more CPU and RAM to an existing server;Adding more machines to a pool of resources to share load;Replacing a server with a newer model;Scaling the database vertically,1,,,
MCQ,What is the primary purpose of a load balancer?,3,Encrypt traffic between services;Distribute incoming requests across multiple servers to prevent overload;Cache API responses;Monitor server CPU usage,1,,,
MCQ,What does CDN stand for and what does it do?,2,Central Data Node — stores logs centrally;Content Delivery Network — serves static assets from geographically distributed edge servers;Content Distribution Node — replicates databases;Core DNS Network — routes domain lookups,1,,,
MCQ,What is the difference between SQL and NoSQL databases?,3,SQL is faster than NoSQL in all scenarios;SQL uses structured schemas with ACID transactions while NoSQL is schema-flexible and trades some consistency for scale;NoSQL supports joins and transactions better than SQL;SQL and NoSQL are identical in design,1,,,
MCQ,What is eventual consistency?,3,Data is always consistent across all nodes immediately;All replicas will converge to the same value given enough time with no new updates;Data is consistent only during read operations;A model where writes are rejected until all nodes agree,1,,,
MCQ,What is the purpose of a message queue like Kafka or RabbitMQ?,3,To store relational data;To decouple producers and consumers enabling async communication and buffering bursts of traffic;To cache database queries;To handle user authentication tokens,1,,,
MCQ,What is database sharding?,3,Encrypting database partitions;Horizontally partitioning data across multiple databases each holding a subset of rows;Vertically splitting tables by column;Replicating a database to a standby server,1,,,
MCQ,What is the purpose of a circuit breaker pattern?,3,To limit API rate;To prevent cascading failures by stopping requests to a failing service after a threshold is exceeded;To encrypt service communication;To route traffic between microservices,1,,,
MCQ,What is the difference between synchronous and asynchronous communication between services?,3,Sync is always faster;Sync waits for a response blocking the caller while async sends a message and continues without waiting;Async requires HTTP;Sync uses message queues,1,,,
MCQ,What is a write-through cache strategy?,3,Writing only to the cache and evicting later;Writing to both the cache and the underlying database simultaneously on every write;Writing to the database first then invalidating cache;A cache that only handles write operations,1,,,
MCQ,What is the role of a reverse proxy?,2,It forwards client requests to origin servers and returns responses hiding the server topology;It proxies outbound requests from internal services;It balances traffic between DNS servers;It caches only static files,0,,,
CODING,Design a rate limiter using the token bucket algorithm. Write a JavaScript class RateLimiter with methods isAllowed(userId) that returns true if the request is within the rate limit. Bucket capacity is 10 and refills 1 token per second.,10,,,javascript,"class RateLimiter {
  constructor(capacity, refillRatePerSecond) {
    // write your solution here
  }

  isAllowed(userId) {
    // write your solution here
  }
}",true
CODING,Write a JavaScript function called 'lruCache' that creates an LRU cache with a given capacity. It should return an object with get(key) and put(key value) methods. get returns -1 if not found.,10,,,javascript,"function lruCache(capacity) {
  // write your solution here
  return { get, put };
}",1
CODING,Write a function called 'consistentHash' that simulates consistent hashing. Given a list of server names and a key it returns which server the key maps to. Use a simple hash function and a sorted ring of 100 virtual nodes per server.,10,,,javascript,"function consistentHash(servers, key) {
  // write your solution here
}","""server-1"""
