Type,Text,Points,Options,CorrectIndex,Languages,StarterCode,ExpectedOutput
MCQ,What does REST stand for?,2,Remote Execution State Transfer;Representational State Transfer,1,,,
MCQ,Which HTTP method should be used for a request that creates a new resource?,2,GET;PUT;POST;PATCH,2,,,
MCQ,What HTTP status code should an API return when a resource is successfully created?,2,200 OK;201 Created;204 No Content;202 Accepted,1,,,
MCQ,What is idempotency in REST APIs?,3,The ability to paginate results;A request is idempotent if making it multiple times produces the same result as making it once — GET PUT and DELETE are idempotent POST is not,1,,,
MCQ,What is the correct HTTP status code for an unauthenticated request?,2,400;403;401;404,2,,,
MCQ,What is the purpose of versioning a REST API (e.g. /api/v1/)?  ,3,To namespace by company;To allow breaking changes without impacting existing clients by maintaining multiple stable versions,1,,,
MCQ,What is HATEOAS in REST?,3,A caching strategy;Hypermedia As The Engine Of Application State — responses include links to related actions allowing clients to navigate the API dynamically,1,,,
MCQ,What does the HTTP 429 status code mean?,2,Server error;Resource not found;Too Many Requests — the client has exceeded a rate limit,2,,,
MCQ,What is the difference between PUT and PATCH?,3,PUT is idempotent PATCH is not;PUT replaces an entire resource while PATCH applies a partial update to a resource,1,,,
MCQ,What should an API return in its response body when a validation error occurs (400 Bad Request)?,3,An empty body;A machine-readable error object with a code message and ideally field-level details so the client can display them to users,1,,,
MCQ,What is API pagination and why is it important?,3,A method to cache responses;A technique to return large result sets in smaller chunks (pages) reducing response size and preventing server overload,1,,,
MCQ,What is the purpose of the HTTP ETag header?,3,To encode request bodies;A cache validation token — clients send it back with If-None-Match and the server returns 304 Not Modified if the resource has not changed,1,,,
CODING,Write an Express.js route for PATCH /users/:id that accepts a JSON body with optional fields name and email updates only the provided fields in a users object and returns the updated user. Return 404 if user not found.,8,,,javascript,"const express = require('express');
const app = express();
app.use(express.json());

const users = { '1': { id: '1', name: 'Alice', email: 'alice@example.com' } };

app.patch('/users/:id', (req, res) => {
  // write your solution here
});","{""id"":""1"",""name"":""Bob"",""email"":""alice@example.com""}"
CODING,Write a JavaScript middleware function called 'validatePagination' for Express that reads 'page' and 'limit' from query params sets defaults (page=1 limit=20) ensures limit does not exceed 100 and calls next() or returns 400 if values are invalid.,5,,,javascript,"function validatePagination(req, res, next) {
  // write your solution here
}","{""page"":1,""limit"":20}"
CODING,Write a JavaScript function called 'buildApiError' that takes a statusCode message and optional errors array and returns a standardised API error response object with status code message and timestamp fields.,5,,,javascript,"function buildApiError(statusCode, message, errors = []) {
  // write your solution here
}","{""statusCode"":400,""message"":""Validation failed"",""errors"":[],""timestamp"":""2024-01-01T00:00:00.000Z""}"
