Type,Text,Points,Options,CorrectIndex,Languages,StarterCode,ExpectedOutput
MCQ,What is the purpose of a Dockerfile?,2,To configure a Kubernetes cluster;To define the instructions to build a Docker container image;To deploy containers to production;To monitor container health,1,,,
MCQ,What does CI/CD stand for?,2,Container Integration/Container Delivery;Continuous Integration/Continuous Delivery or Deployment;Code Inspection/Code Deployment;Cluster Integration/Cloud Deployment,1,,,
MCQ,What is a Kubernetes Pod?,3,A set of Kubernetes nodes;The smallest deployable unit in Kubernetes that can contain one or more containers sharing storage and network;A namespace for grouping services;A Kubernetes configuration file,1,,,
MCQ,What is Infrastructure as Code (IaC)?,3,Writing infrastructure documentation;Managing and provisioning infrastructure through machine-readable configuration files instead of manual processes;Monitoring cloud costs with code;A cloud billing model,1,,,
MCQ,What does the Docker command 'docker-compose up -d' do?,2,Builds images only;Starts all services defined in docker-compose.yml in detached (background) mode;Stops running containers;Removes all containers and images,1,,,
MCQ,What is the difference between a Kubernetes Deployment and a StatefulSet?,3,Deployments support databases while StatefulSets do not;Deployments manage stateless applications with interchangeable pods while StatefulSets maintain stable network identities and persistent storage for stateful apps,1,,,
MCQ,What is a blue-green deployment?,3,Deploying to two cloud providers at once;Running two identical environments where you shift traffic from old (blue) to new (green) enabling zero-downtime releases and instant rollback,1,,,
MCQ,What does the AWS S3 service primarily provide?,2,Serverless compute;Scalable object storage for files and static assets;Managed relational databases;Container orchestration,1,,,
MCQ,What is the purpose of environment variables in DevOps?,3,To store container images;To separate configuration from code enabling the same image to run in different environments with different settings,1,,,
MCQ,What is a Kubernetes ConfigMap used for?,2,Storing sensitive secrets;Storing non-sensitive configuration data as key-value pairs that Pods can consume as environment variables or files,1,,,
MCQ,What does a health check endpoint /health typically return in a microservice?,3,The full database contents;A simple 200 OK response confirming the service is running and dependencies are reachable,1,,,
MCQ,What is the purpose of a reverse proxy like Nginx in a production setup?,3,To compile application code;To handle SSL termination serve static files and route requests to upstream application servers,1,,,
CODING,Write a valid Dockerfile for a Node.js Express application. It should use node:18-alpine as base image copy package files install only production dependencies copy source code expose port 3000 and start the app with node server.js.,8,,,dockerfile,"# Write your Dockerfile below
","FROM node:18-alpine
WORKDIR /app
COPY package*.json ./
RUN npm ci --only=production
COPY . .
EXPOSE 3000
CMD [""node"", ""server.js""]"
CODING,Write a shell script called deploy.sh that pulls the latest Docker image tagged as myapp:latest stops and removes any running container named 'myapp' then starts a new container on port 8080 mapped to container port 3000 in detached mode.,8,,,bash,"#!/bin/bash
# Write your deployment script below
","docker pull myapp:latest
docker stop myapp || true
docker rm myapp || true
docker run -d --name myapp -p 8080:3000 myapp:latest"
CODING,Write a GitHub Actions workflow YAML step block (just the steps section) that checks out the code installs Node.js 18 runs npm ci runs npm test and if tests pass builds a Docker image tagged as myapp:latest.,8,,,yaml,"# Write just the 'steps:' section of a GitHub Actions job
steps:
  # write your solution here
","steps:
  - uses: actions/checkout@v3
  - uses: actions/setup-node@v3
    with:
      node-version: '18'
  - run: npm ci
  - run: npm test
  - run: docker build -t myapp:latest ."
