Type,Text,Points,Options,CorrectIndex,Languages,StarterCode,ExpectedOutput
MCQ,What is the difference between 'interface' and 'type' in TypeScript?,3,Interfaces support union types while types do not;Types can be extended with 'extends' but interfaces cannot;Both are identical with no differences;Interfaces support declaration merging while type aliases do not,3,,,
MCQ,What does the 'keyof' operator do in TypeScript?,3,Returns the keys of an object at runtime;Produces a union type of all keys of a given type;Deletes a key from an object type;Checks if a key exists in an object,1,,,
MCQ,What is a TypeScript generic constraint using 'extends'?,3,Forces a type to inherit a class;Restricts a generic type parameter to types that satisfy a given shape;Extends an interface with new fields;Applies inheritance to a generic class only,1,,,
MCQ,What does the 'Partial<T>' utility type do?,2,Makes all properties of T required;Makes all properties of T optional;Makes all properties of T readonly;Picks a subset of properties from T,1,,,
MCQ,What is the 'never' type used for in TypeScript?,3,A placeholder for null;A type that represents a value that never occurs (e.g. function that always throws);An alias for undefined;The default return type of void functions,1,,,
MCQ,What does the 'as const' assertion do?,3,Casts a value to a constant class;Makes a literal type narrowed to its most specific type and marks it readonly;Prevents TypeScript from inferring types;Converts a variable to a string constant,1,,,
MCQ,What is discriminated union in TypeScript?,3,A union where one type extends another;A union type with a common literal property used to distinguish between members;A union with only primitive types;A utility type that merges two unions,1,,,
MCQ,Which TypeScript utility type extracts the return type of a function type?,2,Parameters<T>;ReturnType<T>;InstanceType<T>;Awaited<T>,1,,,
MCQ,What does the '!' (non-null assertion) operator do?,2,Throws at runtime if value is null;Tells TypeScript to treat the value as non-null and non-undefined without runtime checking;Converts null to false;Removes null from a union type permanently,1,,,
MCQ,What is declaration merging in TypeScript?,3,Merging two .d.ts files into one;TypeScript automatically combines multiple declarations with the same name into a single definition;Overriding a type with a subtype;Importing types from multiple modules,1,,,
MCQ,What is the purpose of the 'infer' keyword in conditional types?,3,It declares a new variable;It allows capturing a type variable within a conditional type for later use;It infers function parameter names;It is an alias for 'extends',1,,,
MCQ,What does 'Readonly<T>' do to an object type?,2,Makes all properties required;Prevents all properties from being reassigned after object creation;Makes the object immutable at runtime;Freezes the prototype chain,1,,,
CODING,Write a TypeScript generic function called 'pick' that takes an object and an array of keys and returns a new object containing only those keys. It should be fully typed.,8,,,typescript,"function pick<T extends object, K extends keyof T>(obj: T, keys: K[]): Pick<T, K> {
  // write your solution here
}","{""name"":""Alice"",""age"":30}"
CODING,Write a TypeScript type called 'DeepReadonly<T>' that makes all nested properties of an object type recursively readonly.,8,,,typescript,"type DeepReadonly<T> = {
  // write your solution here
}","{ readonly name: string; readonly address: { readonly city: string; }; }"
CODING,Write a TypeScript function called 'groupBy' that takes an array of objects and a key name and returns a Record grouping objects by that key value. Use generics.,8,,,typescript,"function groupBy<T extends Record<string, unknown>>(arr: T[], key: keyof T): Record<string, T[]> {
  // write your solution here
}","{""admin"":[{""name"":""Alice"",""role"":""admin""}],""user"":[{""name"":""Bob"",""role"":""user""}]}"
