Type,Text,Points,Options,CorrectIndex,Languages,StarterCode,ExpectedOutput
MCQ,Which hook should you use to run a side effect after a React component renders?,2,useState;useEffect;useRef;useCallback,1,,,
MCQ,What does the CSS property box-sizing border-box do?,2,Adds a border around every element;Makes padding and border included in the element width and height;Removes all default browser styles;Sets the element display to block,1,,,
MCQ,What is the output of console.log(typeof null) in JavaScript?,3,null;object;undefined;number,1,,,
MCQ,Which of the following is NOT a valid JavaScript Promise method?,2,Promise.all();Promise.race();Promise.map();Promise.allSettled(),2,,,
MCQ,What does the key prop do in a React list?,2,Improves visual styling of list items;Helps React identify which items have changed;Sets the list item ID in the DOM;Assigns an event handler to each list item,1,,,
MCQ,Which CSS layout system uses fr as a unit?,2,Flexbox;Float layout;CSS Grid;CSS Variables,2,,,
MCQ,What is the correct way to prevent the default action of an event in JavaScript?,2,event.stop();event.prevent();event.preventDefault();event.cancel(),2,,,
MCQ,In React what is a controlled component?,3,A component that controls child components;A form element whose value is controlled by React state;A component wrapped in React.memo();A component that uses useRef for DOM access,1,,,
MCQ,What does the spread operator do in JavaScript?,2,Converts an array to a string;Copies all enumerable own properties from one object to another;Removes duplicate values from an array;Declares a rest parameter in a function,1,,,
MCQ,Which HTTP status code means Not Found?,1,200;401;403;404,3,,,
MCQ,What is the purpose of React.memo()?,3,It memoizes an expensive calculation;It prevents re-rendering if props have not changed;It caches API responses;It creates a memoized Redux selector,1,,,
MCQ,Which is a valid immutable array update in JavaScript?,2,arr.push(newItem);[...arr newItem];arr.append(newItem);arr.add(newItem),1,,,
CODING,Write a JavaScript function called reverseString that takes a string and returns it reversed. Example: reverseString('hello') returns 'olleh'.,5,,,javascript;typescript,function reverseString(str) { // write your solution here },olleh
CODING,Write a function called sumArray that takes an array of numbers and returns their sum. Example: sumArray([1 2 3 4 5]) should return 15.,5,,,javascript;typescript,function sumArray(arr) { // write your solution here },15
CODING,Write a function called isPalindrome that returns true if a string reads the same forwards and backwards ignoring case. Example: isPalindrome('Racecar') returns true.,8,,,javascript;typescript,function isPalindrome(str) { // write your solution here },true
