Type,Text,Points,Options,CorrectIndex,Languages,StarterCode,ExpectedOutput
MCQ,Which React hook is used to manage local component state?,2,useEffect;useState;useContext;useReducer,1,,,
MCQ,What does the useEffect hook with an empty dependency array [] do?,2,Runs on every render;Runs only on unmount;Runs only once after the first render;Runs before the first render,2,,,
MCQ,What is the correct way to update state based on the previous state value in React?,3,setState(state + 1);setState(prev => prev + 1);setState({ ...state });setState(state),1,,,
MCQ,Which prop is required when rendering a list of elements in React to avoid key warnings?,2,id;index;key;name,2,,,
MCQ,What does React.memo() do?,3,Memoizes an async function;Prevents a component from re-rendering when its props have not changed;Creates a memoized selector;Replaces useMemo for all cases,1,,,
MCQ,In Tailwind CSS what class sets the display property to flex?,1,d-flex;display-flex;flex;flexbox,2,,,
MCQ,What is the purpose of the useCallback hook?,3,Cache the result of a computation;Return a memoized callback function that only changes if dependencies change;Replace useEffect for event listeners;Bind a function to component state,1,,,
MCQ,Which CSS property controls the stacking order of overlapping elements?,2,z-order;stack-level;z-index;layer,2,,,
MCQ,How do you pass data from a parent component to a child component in React?,2,Using state;Using props;Using context only;Using refs,1,,,
MCQ,What is the virtual DOM in React?,3,A browser API for DOM manipulation;A lightweight in-memory copy of the real DOM used for efficient diffing;A CSS-in-JS implementation;A debugging tool for component trees,1,,,
MCQ,Which hook lets you read and subscribe to context in a functional component?,2,useStore;useProvider;useContext;useGlobal,2,,,
MCQ,What does the key word 'async' before a function declaration indicate?,2,The function runs on a separate thread;The function returns a Promise;The function is a generator;The function has no return value,1,,,
CODING,Write a React functional component called Greeting that accepts a name prop and renders Hello {name}! in an h1 tag. Export it as default.,5,,,javascript;typescript,"function Greeting({ name }) {
  // write your solution here
}
export default Greeting;",Hello World!
CODING,Write a custom React hook called useCounter that returns a count value starting at 0 and an increment function. Use useState internally.,8,,,javascript;typescript,"import { useState } from 'react';

function useCounter() {
  // write your solution here
}

export default useCounter;","{ count: 0, increment: [Function] }"
CODING,Write a function called filterByRole that takes an array of user objects (each with name and role properties) and a role string and returns only users matching that role.,5,,,javascript;typescript,"function filterByRole(users, role) {
  // write your solution here
}","[{""name"":""Alice"",""role"":""admin""}]"
