Type,Text,Points,Options,CorrectIndex,Languages,StarterCode,ExpectedOutput
MCQ,What does 'git rebase' do differently from 'git merge'?,3,Rebase is slower than merge;Rebase replays commits from one branch onto another producing a linear history while merge creates a merge commit preserving branch history,1,,,
MCQ,What is the purpose of a .gitignore file?,2,To ignore syntax errors;To tell Git which files or directories to exclude from version control,1,,,
MCQ,What does 'git stash' do?,2,Permanently deletes uncommitted changes;Temporarily saves uncommitted changes so you can switch context and apply them later,1,,,
MCQ,What is a pull request (PR) / merge request (MR)?,3,A Git command to pull code;A collaborative review mechanism where a developer proposes changes for review before merging into a target branch,1,,,
MCQ,What is the Git 'cherry-pick' command used for?,3,Selecting files for staging;Applying a specific commit from one branch to another without merging the entire branch,1,,,
MCQ,What does 'git reset --hard HEAD~1' do?,3,Undoes the last commit and stages changes;Undoes the last commit and discards all changes permanently moving HEAD back by one commit,1,,,
MCQ,What is the SOLID principle 'Single Responsibility Principle'?,3,A class must have exactly one method;A class should have only one reason to change meaning it should encapsulate only one responsibility or concern,1,,,
MCQ,What is the DRY principle in software engineering?,2,Use dynamic types everywhere;Do Not Repeat Yourself — avoid duplicating logic or knowledge by extracting it into a single reusable abstraction,1,,,
MCQ,What is a code smell?,3,A syntax error;An indicator in source code that suggests a deeper problem — not a bug itself but a sign the design could be improved,1,,,
MCQ,What is Test-Driven Development (TDD)?,3,Writing tests after shipping code;A development approach where tests are written before implementation driving design and ensuring coverage,1,,,
MCQ,What is the purpose of semantic versioning (e.g. 2.4.1)?,3,To number releases randomly;Major.Minor.Patch — Major breaks compatibility Minor adds features backward-compatibly Patch fixes bugs,1,,,
MCQ,What is the purpose of code review?,3,To increase code size;To catch bugs improve code quality share knowledge and ensure adherence to standards before merging changes,1,,,
CODING,Write a JavaScript function called 'debounce' that takes a function fn and a delay in milliseconds and returns a debounced version that only calls fn after the delay has elapsed since the last invocation.,8,,,javascript,"function debounce(fn, delay) {
  // write your solution here
}","called once"
CODING,Write a JavaScript function called 'memoize' that takes any function and returns a memoized version that caches results by serialising arguments as the cache key.,8,,,javascript,"function memoize(fn) {
  // write your solution here
}",75025
CODING,Write a JavaScript function called 'pipe' that takes any number of functions and returns a new function that applies them left to right passing the output of each as the input to the next. Example: pipe(double add1)(5) = 11.,8,,,javascript,"function pipe(...fns) {
  // write your solution here
}",11
