Type,Text,Points,Options,CorrectIndex,Languages,StarterCode,ExpectedOutput
MCQ,What is the output of typeof null in JavaScript?,2,null;undefined;object;string,2,,,
MCQ,Which method removes the last element from an array and returns it?,2,shift();pop();splice();slice(),1,,,
MCQ,What does === check in JavaScript?,2,Value only;Type only;Both value and type;Reference equality only,2,,,
MCQ,Which of the following correctly declares a block-scoped variable?,2,var x = 1;let x = 1;function x() {};const x (x is mutable),1,,,
MCQ,What is a closure in JavaScript?,3,A function with no return value;A function that has access to its outer function scope even after the outer function has returned;A self-invoking function;An arrow function without parameters,1,,,
MCQ,What does Array.prototype.reduce() return?,3,Always an array;Always a number;A single accumulated value;A boolean,2,,,
MCQ,Which statement about 'var' is correct?,2,Block-scoped;Function-scoped and hoisted;Not hoisted;Cannot be reassigned,1,,,
MCQ,What is event bubbling in JavaScript?,3,An event that fires only once;An event propagating from child to parent elements in the DOM;An event fired on window load;An animation event type,1,,,
MCQ,What does the nullish coalescing operator ?? do?,3,Returns left side if truthy;Returns right side if left side is null or undefined;Checks strict equality;Short-circuits on false,1,,,
MCQ,What is the difference between map() and forEach()?,3,They are identical;map returns a new array; forEach does not return anything;forEach is faster;map mutates the original array,1,,,
MCQ,What does Promise.all() do?,3,Runs promises sequentially;Resolves when all promises resolve or rejects when any one rejects;Waits for the slowest promise silently;Ignores rejections,1,,,
MCQ,Which keyword is used to handle errors in async/await code?,2,try/catch;then/catch;error/handle;async/error,0,,,
CODING,Write a function called flattenArray that takes a nested array (one level deep) and returns a flat array. Example: flattenArray([[1,2],[3,4]]) returns [1,2,3,4].,5,,,javascript;typescript,"function flattenArray(arr) {
  // write your solution here
}","[1,2,3,4]"
CODING,Write a function called debounce that takes a function fn and a delay in ms and returns a debounced version that delays invoking fn until after delay ms have elapsed since the last call.,8,,,javascript;typescript,"function debounce(fn, delay) {
  // write your solution here
}",debounced function
CODING,Write a function called deepClone that returns a deep copy of a plain object (no functions or special types). Example: deepClone({a:{b:1}}) returns a new object {a:{b:1}}.,5,,,javascript;typescript,"function deepClone(obj) {
  // write your solution here
}","{""a"":{""b"":1}}"
